Zafra,grupo,LOTE_N,CATEGORIA,NDVI,
2022/2023,"(60,90]",150203,BAJA RESPUESTA,0.697218089,
2022/2023,"(60,90]",150204,ALTA RESPUESTA,0.699726461,
2022/2023,"(60,90]",150204,BAJA RESPUESTA,0.697811366,
2022/2023,"(60,90]",150401,ALTA RESPUESTA,0.548857995,
2022/2023,"(60,90]",150401,BAJA RESPUESTA,0.5653941,
2022/2023,"(60,90]",300101,ALTA RESPUESTA,0.550767377,
2022/2023,"(60,90]",300101,BAJA RESPUESTA,0.454589002,
2022/2023,"(60,90]",300102,ALTA RESPUESTA,0.753068742,
2022/2023,"(60,90]",300103,ALTA RESPUESTA,0.707926318,
2022/2023,"(60,90]",300103,BAJA RESPUESTA,0.675826427,
2022/2023,"(60,90]",300104,ALTA RESPUESTA,0.640478739,
2022/2023,"(60,90]",300104,BAJA RESPUESTA,0.598516039,
2022/2023,"(60,90]",300105,ALTA RESPUESTA,0.527254966,
2022/2023,"(60,90]",300105,BAJA RESPUESTA,0.528432266,
2022/2023,"(60,90]",300106,ALTA RESPUESTA,0.443250854,
2022/2023,"(60,90]",300106,BAJA RESPUESTA,0.53157179,
2022/2023,"(60,90]",300107,ALTA RESPUESTA,0.623697887,
2022/2023,"(60,90]",300107,BAJA RESPUESTA,0.581787481,
2022/2023,"(60,90]",300108,ALTA RESPUESTA,0.544687123,
2022/2023,"(60,90]",300108,BAJA RESPUESTA,0.536092842,
2022/2023,"(60,90]",300109,ALTA RESPUESTA,0.615070883,
2022/2023,"(60,90]",300110,ALTA RESPUESTA,0.614387,
2022/2023,"(60,90]",300110,BAJA RESPUESTA,0.612900588,
2022/2023,"(60,90]",300111,ALTA RESPUESTA,0.541045469,
2022/2023,"(60,90]",300112,ALTA RESPUESTA,0.556696247,
2022/2023,"(60,90]",300112,BAJA RESPUESTA,0.455426857,
2022/2023,"(60,90]",300113,ALTA RESPUESTA,0.534975633,
2022/2023,"(60,90]",300113,BAJA RESPUESTA,0.624189448,
2022/2023,"(60,90]",300201,ALTA RESPUESTA,0.540081094,
2022/2023,"(60,90]",300201,BAJA RESPUESTA,0.569934727,
2022/2023,"(60,90]",300202,ALTA RESPUESTA,0.57763968,
2022/2023,"(60,90]",300202,BAJA RESPUESTA,0.549977245,
2022/2023,"(60,90]",300203,ALTA RESPUESTA,0.550483656,
2022/2023,"(60,90]",300203,BAJA RESPUESTA,0.583199088,
2022/2023,"(60,90]",300204,ALTA RESPUESTA,0.530552277,
2022/2023,"(60,90]",300205,ALTA RESPUESTA,0.515258964,
2022/2023,"(60,90]",300205,BAJA RESPUESTA,0.500320359,
2022/2023,"(60,90]",300206,ALTA RESPUESTA,0.344796442,
2022/2023,"(60,90]",300206,BAJA RESPUESTA,0.46843288,
2022/2023,"(60,90]",300207,ALTA RESPUESTA,0.618005753,
2022/2023,"(60,90]",300207,BAJA RESPUESTA,0.668559834,
2022/2023,"(60,90]",300208,BAJA RESPUESTA,0.548227795,
2022/2023,"(60,90]",300209,ALTA RESPUESTA,0.379135887,
2022/2023,"(60,90]",300209,BAJA RESPUESTA,0.38262742,
2022/2023,"(60,90]",300210,BAJA RESPUESTA,0.516398018,
2022/2023,"(60,90]",300301,ALTA RESPUESTA,0.500400141,
2022/2023,"(60,90]",300301,BAJA RESPUESTA,0.52345236,
2022/2023,"(60,90]",300302,ALTA RESPUESTA,0.584676926,
2022/2023,"(60,90]",300303,ALTA RESPUESTA,0.637686168,
2022/2023,"(60,90]",300303,BAJA RESPUESTA,0.593371283,
2022/2023,"(60,90]",300305,ALTA RESPUESTA,0.490454214,
2022/2023,"(60,90]",300305,BAJA RESPUESTA,0.495549592,
2022/2023,"(60,90]",300306,ALTA RESPUESTA,0.584229286,
2022/2023,"(60,90]",300306,BAJA RESPUESTA,0.498543262,
2022/2023,"(60,90]",300310,ALTA RESPUESTA,0.513165335,
2022/2023,"(60,90]",300310,BAJA RESPUESTA,0.480476295,
2022/2023,"(60,90]",620101,ALTA RESPUESTA,0.560307824,
2022/2023,"(60,90]",620101,BAJA RESPUESTA,0.618163727,
2022/2023,"(60,90]",620103,ALTA RESPUESTA,0.589837054,
2022/2023,"(60,90]",620103,BAJA RESPUESTA,0.572297926,
2022/2023,"(60,90]",620201,ALTA RESPUESTA,0.645767375,
2022/2023,"(60,90]",620201,BAJA RESPUESTA,0.547599413,
2022/2023,"(60,90]",620202,BAJA RESPUESTA,0.591874927,
2022/2023,"(60,90]",3360101,ALTA RESPUESTA,0.726438571,
2022/2023,"(60,90]",3360101,BAJA RESPUESTA,0.709529759,
2022/2023,"(60,90]",3360102,ALTA RESPUESTA,0.659736262,
2022/2023,"(60,90]",3360102,BAJA RESPUESTA,0.710820867,
2022/2023,"(60,90]",3360103,ALTA RESPUESTA,0.603311227,
2022/2023,"(60,90]",3360103,BAJA RESPUESTA,0.626058288,
2022/2023,"(60,90]",3360104,ALTA RESPUESTA,0.696142793,
2022/2023,"(60,90]",3360104,BAJA RESPUESTA,0.688105196,
2022/2023,"(60,90]",3540109,ALTA RESPUESTA,0.568320146,
2022/2023,"(60,90]",3540109,BAJA RESPUESTA,0.658454547,
2022/2023,"(60,90]",3540110,ALTA RESPUESTA,0.561383822,
2022/2023,"(60,90]",3540111,BAJA RESPUESTA,0.59087469,
2022/2023,"(90,120]",120101,BAJA RESPUESTA,0.73644488,
2022/2023,"(90,120]",120102,BAJA RESPUESTA,0.74605823,
2022/2023,"(90,120]",120103,BAJA RESPUESTA,0.694334633,
2022/2023,"(90,120]",120105,BAJA RESPUESTA,0.689635943,
2022/2023,"(90,120]",120106,BAJA RESPUESTA,0.650521495,
2022/2023,"(90,120]",120110,BAJA RESPUESTA,0.715100102,
2022/2023,"(90,120]",120113,BAJA RESPUESTA,0.658051325,
2022/2023,"(90,120]",150101,ALTA RESPUESTA,0.717044686,
2022/2023,"(90,120]",150101,BAJA RESPUESTA,0.744603172,
2022/2023,"(90,120]",150102,ALTA RESPUESTA,0.732834732,
2022/2023,"(90,120]",150102,BAJA RESPUESTA,0.7203362,
2022/2023,"(90,120]",150103,BAJA RESPUESTA,0.747271378,
2022/2023,"(90,120]",150104,BAJA RESPUESTA,0.779107382,
